Dép.;Nom du col ;Altitude (m);"Ascencions
(Nb)";Col;>2000m;VTT
73;Col de la Croix de Fer;2064;2;Oui;X;
73;Col du Mont Cenis;2081;2;Oui;X;
73;Col du Petit St Bernard;2188;1;Oui;X;
73;Col de l'Iseran;2764;3;Oui;X;
74;Col de la Ramaz;1557;1;Oui;;
74;Col de la Colombière;1613;1;Oui;;
84;Pas du Voltigeur;328;1;Oui;;
84;Col de champ Paga;366;1;Oui;;
84;Col de Suzette;392;1;Oui;;
84;Col de la chaine;472;1;Oui;;
84;Col de la Madeleine (Bedouin);478;1;Oui;;
84;Col des Tempêtes (Mont Ventoux 1910m);1829;3;Oui;;
Espagne;Colle Sacreu (Arenys de Mar);400;2;Oui;;
Italie;Passo Dell'Aprica;1202;1;Oui;;
Italie;Passo Dello Stelvio;2760;1;Oui;X;
Suisse;Col de la Forclaz;1526;1;Oui;;
Montée;Haut Folin;901;1;Non;;
Montée;Croix de Justin (Die);1004;2;Non;;X
Montée;La Planche des Belles Filles;1035;1;Non;;
Montée;Le champ du Feu (Vosges);1099;2;Non;;
Montée;Monte Generoso (Suisse);1202;1;Non;;
Montée;Grand Ballon;1343;2;Non;;
Montée;Betex;1400;1;Non;;
Montée;Crans-Montana;1470;1;Non;;
Montée;Mont du Chat;1500;1;Non;;
Montée;Champex depuis les Valettes (Suisse);1500;1;Non;;
Montée;Les Orres;1550;1;Non;;
Montée;Pla d'Adet;1700;1;Non;;
Montée;Chamrousse;1700;1;Non;;
Montée;Orcière Merlette;1850;1;Non;;
Montée;Alpe d'Huez;1860;2;Non;;
Montée;Lago Di Cancano - Torri Di Fraele (Italie);1941;1;Non;;
Montée;Arolla (Suisse);2000;1;Non;;
;;Total;178;;;
;Total ascencions;;331;;;
;;;;>2000m;18;
